state,year,candidate,party,votes
Rajasthan,2014,Vikram Gupta,Independent,680102
Andhra Pradesh,2019,Suresh Patel,SP,617931
Maharashtra,2014,Anita Menon,INC,423813
Haryana,2019,Vinod Joshi,SP,695989
Delhi,2019,Ramesh Gowda,SP,411200
Andhra Pradesh,2019,Suresh Patel,BJP,59136
Andhra Pradesh,2014,Suresh Patel,AITC,115338
Telangana,2014,Kiran Rao,Independent,115551
Mizoram,2019,Kiran Rao,INC,294322
Uttar Pradesh,2019,Rajiv Das,Independent,329867
Uttar Pradesh,2019,Alok Verma,BJP,590880
Rajasthan,2024,Sonal Tiwari,AITC,544360
Uttarakhand,2014,Simran Kaur,BJP,694775
Andhra Pradesh,2014,Alok Verma,SP,672957
Telangana,2014,Sonal Tiwari,SP,595376
Tamil Nadu,2014,Neha Kulkarni,AITC,540377
Bihar,2024,Neha Kulkarni,SP,175966
Tamil Nadu,2024,Vinod Joshi,BJP,70521
Odisha,2024,Pooja Desai,SP,365121
Gujarat,2014,Amit Sharma,INC,567989
Delhi,2024,Alok Verma,BJP,447165
Sikkim,2014,Manoj Singh,Independent,593334
Delhi,2014,Suresh Patel,SP,331792
Meghalaya,2014,Vikram Gupta,BJP,679373
Chhattisgarh,2019,Vinod Joshi,AITC,189064
Goa,2019,Anita Menon,Independent,424293
Punjab,2019,Prakash Yadav,AITC,313264
Gujarat,2024,Rajiv Das,BJP,676401
Uttarakhand,2014,Kiran Rao,Independent,165197
Goa,2019,Rajesh Nair,BJP,357127
Tamil Nadu,2019,Kiran Rao,BJP,192193
Maharashtra,2024,Rajiv Das,INC,480853
Uttar Pradesh,2014,Neha Kulkarni,BJP,672646
Uttar Pradesh,2019,Deepak Chawla,BJP,75565
Punjab,2019,Vinod Joshi,AITC,295898
Uttar Pradesh,2024,Simran Kaur,INC,585830
Maharashtra,2014,Deepak Chawla,INC,157580
Telangana,2014,Vinod Joshi,SP,610365
Arunachal Pradesh,2024,Anita Menon,Independent,376836
Meghalaya,2019,Vinod Joshi,SP,600987
Gujarat,2014,Neha Kulkarni,AITC,270547
Karnataka,2019,Vinod Joshi,INC,525668
Delhi,2019,Manoj Singh,Independent,602286
Meghalaya,2014,Deepak Chawla,AITC,558303
Kerala,2014,Manoj Singh,BJP,96000
Tripura,2014,Amit Sharma,SP,521247
Punjab,2024,Vinod Joshi,INC,694922
Arunachal Pradesh,2014,Kiran Rao,INC,490969
Punjab,2019,Vinod Joshi,Independent,680988
Haryana,2024,Simran Kaur,Independent,401874
Mizoram,2014,Suresh Patel,Independent,633200
Uttarakhand,2019,Neha Kulkarni,AITC,320212
Uttarakhand,2024,Sonal Tiwari,INC,70718
Rajasthan,2019,Rajesh Nair,BJP,343514
Sikkim,2019,Meena Chopra,BJP,605642
Punjab,2024,Vinod Joshi,Independent,433374
Maharashtra,2024,Meena Chopra,BJP,143563
Himachal Pradesh,2014,Alok Verma,AITC,176569
Uttar Pradesh,2024,Anita Menon,BJP,574528
Bihar,2024,Deepak Chawla,INC,339071
Assam,2014,Amit Sharma,INC,516323
Haryana,2014,Sonal Tiwari,BJP,457145
Haryana,2024,Vikram Gupta,AITC,486770
Madhya Pradesh,2024,Pallavi Sharma,BJP,185351
Punjab,2019,Simran Kaur,INC,65202
Delhi,2019,Kiran Rao,AITC,624995
Goa,2019,Pallavi Sharma,INC,375344
Nagaland,2024,Ramesh Gowda,SP,455670
Haryana,2014,Amit Sharma,Independent,181539
Chhattisgarh,2019,Pooja Desai,Independent,370959
Rajasthan,2019,Karthik Reddy,BJP,616979
Goa,2024,Neha Kulkarni,BJP,602916
Kerala,2019,Sonal Tiwari,Independent,353358
Madhya Pradesh,2019,Manoj Singh,INC,417919
Chhattisgarh,2019,Meena Chopra,BJP,301487
Jharkhand,2014,Karthik Reddy,AITC,252725
Manipur,2024,Rajesh Nair,AITC,559851
Punjab,2024,Neha Kulkarni,BJP,494853
Arunachal Pradesh,2024,Manoj Singh,SP,60870
Mizoram,2019,Rajiv Das,SP,116740
Bihar,2014,Simran Kaur,SP,287365
Karnataka,2014,Vinod Joshi,SP,530513
Uttar Pradesh,2019,Pooja Desai,Independent,262188
Andhra Pradesh,2019,Amit Sharma,BJP,594463
Nagaland,2014,Amit Sharma,AITC,419339
Goa,2014,Vinod Joshi,SP,114495
Assam,2024,Vinod Joshi,SP,326136
Chhattisgarh,2019,Alok Verma,Independent,672494
Uttarakhand,2014,Vikram Gupta,BJP,189294
Nagaland,2014,Rajesh Nair,AITC,444541
Sikkim,2024,Simran Kaur,SP,328994
Himachal Pradesh,2024,Vikram Gupta,SP,217020
Telangana,2024,Deepak Chawla,AITC,566557
Bihar,2024,Simran Kaur,AITC,284045
Mizoram,2019,Sonal Tiwari,BJP,275263
Manipur,2024,Vinod Joshi,INC,419736
West Bengal,2019,Neha Kulkarni,Independent,581976
Maharashtra,2019,Rajiv Das,SP,597917
Chhattisgarh,2019,Pooja Desai,INC,482111
Meghalaya,2019,Sonal Tiwari,INC,464744
Delhi,2019,Rajesh Nair,AITC,509003
Punjab,2024,Ramesh Gowda,SP,497780
Bihar,2014,Ramesh Gowda,INC,695419
Odisha,2014,Manoj Singh,Independent,333470
Madhya Pradesh,2024,Suresh Patel,Independent,136839
Meghalaya,2019,Simran Kaur,BJP,233624
Haryana,2024,Manoj Singh,SP,428005
Goa,2024,Deepak Chawla,INC,447864
Assam,2019,Sonal Tiwari,SP,422433
Kerala,2014,Sonal Tiwari,AITC,656287
Tamil Nadu,2019,Vinod Joshi,SP,249337
Nagaland,2014,Rajiv Das,Independent,268909
Jharkhand,2014,Alok Verma,Independent,242211
Himachal Pradesh,2014,Manoj Singh,SP,630999
Maharashtra,2019,Karthik Reddy,Independent,167164
Chhattisgarh,2019,Vikram Gupta,Independent,284389
Madhya Pradesh,2019,Suresh Patel,AITC,66588
Tamil Nadu,2014,Deepak Chawla,Independent,456706
Sikkim,2024,Amit Sharma,SP,441862
Jharkhand,2024,Neha Kulkarni,AITC,96229
Haryana,2019,Alok Verma,INC,145993
Madhya Pradesh,2014,Sonal Tiwari,BJP,461714
Arunachal Pradesh,2024,Suresh Patel,INC,90646
Punjab,2019,Neha Kulkarni,SP,366554
Odisha,2014,Pallavi Sharma,Independent,59703
Manipur,2014,Manoj Singh,AITC,676498
Uttar Pradesh,2014,Amit Sharma,AITC,195399
Jharkhand,2024,Vikram Gupta,INC,592258
Kerala,2024,Amit Sharma,SP,286851
Odisha,2014,Neha Kulkarni,BJP,219198
Assam,2019,Prakash Yadav,BJP,182624
Odisha,2019,Rajesh Nair,Independent,231422
Jharkhand,2024,Prakash Yadav,Independent,650627
Sikkim,2014,Pooja Desai,SP,267803
Maharashtra,2014,Rajiv Das,INC,698992
Sikkim,2014,Karthik Reddy,AITC,343228
Telangana,2019,Alok Verma,Independent,84489
Tamil Nadu,2019,Rajiv Das,SP,225001
Arunachal Pradesh,2024,Meena Chopra,Independent,351683
Jharkhand,2014,Karthik Reddy,Independent,353673
Haryana,2014,Pooja Desai,SP,187888
Jharkhand,2019,Rajiv Das,SP,71881
Assam,2019,Prakash Yadav,INC,421974
Rajasthan,2024,Alok Verma,INC,269276
Gujarat,2024,Vinod Joshi,SP,175301
Uttarakhand,2024,Suresh Patel,Independent,314207
Arunachal Pradesh,2014,Vikram Gupta,BJP,526770
Bihar,2014,Vinod Joshi,SP,652048
Gujarat,2014,Suresh Patel,SP,74172
Kerala,2024,Sonal Tiwari,SP,248796
Uttar Pradesh,2019,Vinod Joshi,BJP,460256
Gujarat,2019,Simran Kaur,INC,252958
Delhi,2014,Anita Menon,INC,215251
Assam,2024,Rajesh Nair,SP,424477
Maharashtra,2024,Neha Kulkarni,SP,397428
Sikkim,2019,Sonal Tiwari,INC,487050
Delhi,2024,Neha Kulkarni,INC,646844
Arunachal Pradesh,2024,Karthik Reddy,BJP,454992
Arunachal Pradesh,2024,Kiran Rao,AITC,141386
Chhattisgarh,2019,Vinod Joshi,AITC,274413
Kerala,2019,Vinod Joshi,AITC,379883
Assam,2014,Vinod Joshi,BJP,528999
Meghalaya,2014,Prakash Yadav,Independent,85184
Maharashtra,2019,Pallavi Sharma,Independent,396238
Gujarat,2014,Pallavi Sharma,BJP,378908
Punjab,2024,Simran Kaur,BJP,438716
Mizoram,2024,Vinod Joshi,INC,381831
Chhattisgarh,2014,Vinod Joshi,SP,265114
Jharkhand,2014,Vikram Gupta,SP,172962
Jharkhand,2014,Manoj Singh,Independent,522678
Bihar,2024,Sonal Tiwari,Independent,84356
Telangana,2014,Simran Kaur,INC,101905
Punjab,2014,Pallavi Sharma,AITC,245201
Jharkhand,2019,Sonal Tiwari,SP,281445
Kerala,2024,Amit Sharma,BJP,692104
Telangana,2014,Prakash Yadav,INC,101321
Punjab,2024,Karthik Reddy,AITC,84829
Kerala,2014,Karthik Reddy,Independent,633188
Andhra Pradesh,2024,Deepak Chawla,SP,123824
Gujarat,2019,Rajiv Das,Independent,205739
Odisha,2019,Kiran Rao,INC,524314
Punjab,2024,Meena Chopra,INC,416234
Haryana,2019,Prakash Yadav,AITC,280393
Tripura,2024,Manoj Singh,INC,613983
Goa,2024,Manoj Singh,SP,435426
Punjab,2014,Sonal Tiwari,SP,125339
West Bengal,2024,Anita Menon,AITC,100198
Tamil Nadu,2014,Vinod Joshi,BJP,353548
Jharkhand,2019,Rajiv Das,Independent,617914
Uttarakhand,2014,Sonal Tiwari,BJP,486310
Sikkim,2014,Alok Verma,INC,120529
Odisha,2024,Vinod Joshi,Independent,402197
Manipur,2014,Neha Kulkarni,Independent,176506
Arunachal Pradesh,2024,Amit Sharma,BJP,352771
Haryana,2024,Karthik Reddy,Independent,671582
Tamil Nadu,2024,Deepak Chawla,SP,107336
Mizoram,2014,Meena Chopra,SP,589212
Mizoram,2024,Rajiv Das,SP,411881
Arunachal Pradesh,2024,Alok Verma,Independent,196912
Goa,2024,Meena Chopra,SP,390065
Uttarakhand,2024,Ramesh Gowda,SP,303567
Jharkhand,2024,Deepak Chawla,INC,576978
Assam,2014,Vikram Gupta,Independent,140966
Rajasthan,2024,Prakash Yadav,INC,579516
Arunachal Pradesh,2014,Neha Kulkarni,BJP,278496
Gujarat,2014,Meena Chopra,AITC,160923
Andhra Pradesh,2014,Amit Sharma,AITC,75485
Sikkim,2024,Suresh Patel,INC,399964
Maharashtra,2019,Manoj Singh,SP,618501
Goa,2019,Rajesh Nair,Independent,593268
Andhra Pradesh,2024,Amit Sharma,SP,697117
Arunachal Pradesh,2019,Neha Kulkarni,AITC,67983
Chhattisgarh,2024,Pooja Desai,Independent,672858
Telangana,2024,Anita Menon,INC,353900
Chhattisgarh,2019,Meena Chopra,AITC,591122
Meghalaya,2019,Pallavi Sharma,BJP,595765
Meghalaya,2024,Vinod Joshi,SP,241321
Maharashtra,2019,Vikram Gupta,BJP,191537
Meghalaya,2024,Kiran Rao,BJP,594946
Haryana,2014,Ramesh Gowda,Independent,57157
Goa,2024,Amit Sharma,AITC,378955
Chhattisgarh,2014,Suresh Patel,AITC,275043
Bihar,2014,Rajiv Das,BJP,450000
Chhattisgarh,2014,Neha Kulkarni,INC,666361
Maharashtra,2024,Meena Chopra,BJP,345540
Uttarakhand,2019,Karthik Reddy,Independent,462612
Gujarat,2024,Ramesh Gowda,Independent,392085
Assam,2014,Vikram Gupta,Independent,592000
West Bengal,2024,Karthik Reddy,BJP,452747
Nagaland,2014,Ramesh Gowda,SP,667532
Tripura,2014,Ramesh Gowda,BJP,521125
Arunachal Pradesh,2024,Sonal Tiwari,Independent,402979
Goa,2024,Pooja Desai,INC,373865
Uttar Pradesh,2024,Amit Sharma,SP,504631
Himachal Pradesh,2014,Vikram Gupta,BJP,172365
Karnataka,2024,Amit Sharma,INC,640713
Sikkim,2019,Pooja Desai,INC,514330
Goa,2019,Meena Chopra,BJP,546175
Punjab,2024,Anita Menon,Independent,323505
Tamil Nadu,2019,Neha Kulkarni,SP,110129
Meghalaya,2014,Pooja Desai,INC,335812
Andhra Pradesh,2014,Neha Kulkarni,AITC,454381
Uttarakhand,2014,Vinod Joshi,BJP,368593
Odisha,2024,Ramesh Gowda,INC,477956
Kerala,2024,Meena Chopra,SP,546784
Punjab,2019,Anita Menon,AITC,131692
Kerala,2014,Pooja Desai,Independent,148039
Nagaland,2014,Prakash Yadav,INC,500273
Arunachal Pradesh,2024,Amit Sharma,AITC,394116
Himachal Pradesh,2019,Meena Chopra,AITC,292082
Andhra Pradesh,2014,Rajiv Das,Independent,316901
Arunachal Pradesh,2024,Rajiv Das,INC,487893
Delhi,2019,Rajesh Nair,AITC,237455
Punjab,2014,Vinod Joshi,SP,53456
Rajasthan,2024,Amit Sharma,BJP,80664
Telangana,2019,Karthik Reddy,AITC,478013
West Bengal,2014,Vikram Gupta,SP,230716
Tripura,2014,Alok Verma,BJP,344150
Bihar,2024,Deepak Chawla,SP,617919
Manipur,2019,Neha Kulkarni,BJP,64041
Chhattisgarh,2024,Prakash Yadav,BJP,667719
Nagaland,2024,Anita Menon,AITC,698717
West Bengal,2019,Anita Menon,Independent,453284
Chhattisgarh,2024,Anita Menon,Independent,332826
Meghalaya,2024,Suresh Patel,BJP,180448
Tripura,2024,Rajiv Das,Independent,139088
Andhra Pradesh,2024,Rajiv Das,AITC,571288
Uttarakhand,2019,Vinod Joshi,Independent,357763
Karnataka,2024,Ramesh Gowda,Independent,214623
Punjab,2019,Simran Kaur,AITC,355345
Rajasthan,2019,Pallavi Sharma,AITC,550630
Andhra Pradesh,2024,Meena Chopra,Independent,480491
Nagaland,2019,Prakash Yadav,AITC,466180
Kerala,2024,Deepak Chawla,Independent,277083
Odisha,2024,Rajiv Das,BJP,656403
Arunachal Pradesh,2024,Anita Menon,BJP,620557
Himachal Pradesh,2014,Rajiv Das,SP,332511
Madhya Pradesh,2014,Rajesh Nair,INC,620392
Haryana,2019,Rajiv Das,INC,561996
Telangana,2019,Ramesh Gowda,INC,634225
Jharkhand,2024,Rajesh Nair,AITC,235903
Himachal Pradesh,2019,Vikram Gupta,INC,435489
Uttar Pradesh,2024,Alok Verma,BJP,500883
Jharkhand,2019,Vinod Joshi,AITC,394598
Jharkhand,2014,Anita Menon,BJP,605793
Karnataka,2019,Ramesh Gowda,BJP,99959
Tamil Nadu,2014,Rajesh Nair,INC,677574
Delhi,2019,Karthik Reddy,SP,313792
Meghalaya,2019,Pallavi Sharma,Independent,159683
Meghalaya,2014,Amit Sharma,SP,668574
Delhi,2024,Ramesh Gowda,BJP,400488
Nagaland,2024,Simran Kaur,SP,63880
Assam,2024,Kiran Rao,BJP,93064
Jharkhand,2019,Rajiv Das,AITC,230617
Tripura,2024,Prakash Yadav,BJP,201328
Karnataka,2014,Meena Chopra,INC,491825
Madhya Pradesh,2014,Rajiv Das,INC,323205
Odisha,2019,Suresh Patel,BJP,54011
Uttarakhand,2014,Kiran Rao,AITC,196166
Odisha,2024,Deepak Chawla,Independent,113314
Goa,2024,Deepak Chawla,Independent,188059
Meghalaya,2024,Manoj Singh,BJP,396719
Karnataka,2019,Sonal Tiwari,INC,676544
Jharkhand,2024,Manoj Singh,Independent,85798
Maharashtra,2024,Meena Chopra,INC,528680
Rajasthan,2014,Pooja Desai,BJP,179178
Tamil Nadu,2019,Sonal Tiwari,AITC,356627
Himachal Pradesh,2019,Kiran Rao,SP,245715
Kerala,2019,Karthik Reddy,Independent,459534
Uttar Pradesh,2019,Deepak Chawla,Independent,514146
Bihar,2024,Kiran Rao,SP,501823
Jharkhand,2024,Alok Verma,BJP,272509
Sikkim,2024,Meena Chopra,Independent,148506
Rajasthan,2024,Amit Sharma,INC,600831
Nagaland,2019,Amit Sharma,SP,61638
Goa,2014,Simran Kaur,BJP,198100
Rajasthan,2024,Pallavi Sharma,Independent,690536
Sikkim,2019,Kiran Rao,AITC,481805
Goa,2014,Pallavi Sharma,BJP,189671
Manipur,2014,Anita Menon,INC,177484
Assam,2024,Neha Kulkarni,SP,214542
Tamil Nadu,2014,Prakash Yadav,BJP,574571
Madhya Pradesh,2024,Sonal Tiwari,INC,580081
Uttar Pradesh,2019,Vikram Gupta,Independent,377743
Andhra Pradesh,2024,Prakash Yadav,SP,205424
Haryana,2014,Simran Kaur,BJP,506450
Bihar,2019,Suresh Patel,Independent,635336
Uttarakhand,2024,Meena Chopra,INC,503662
Karnataka,2019,Neha Kulkarni,INC,51483
Arunachal Pradesh,2014,Simran Kaur,AITC,403342
Goa,2024,Karthik Reddy,SP,660932
Maharashtra,2019,Amit Sharma,BJP,696051
Rajasthan,2024,Pooja Desai,INC,655345
Uttar Pradesh,2014,Karthik Reddy,Independent,192135
Himachal Pradesh,2024,Meena Chopra,INC,429332
Gujarat,2024,Pallavi Sharma,AITC,54389
Jharkhand,2014,Vinod Joshi,BJP,439477
Assam,2014,Rajiv Das,Independent,225030
Chhattisgarh,2014,Sonal Tiwari,SP,291425
Karnataka,2019,Anita Menon,BJP,571230
Arunachal Pradesh,2019,Meena Chopra,SP,432057
Manipur,2019,Pallavi Sharma,SP,360617
Odisha,2014,Prakash Yadav,INC,292466
Uttarakhand,2019,Meena Chopra,Independent,162482
Assam,2014,Kiran Rao,Independent,434576
Tamil Nadu,2019,Anita Menon,SP,106433
Telangana,2019,Sonal Tiwari,Independent,108000
Tamil Nadu,2019,Karthik Reddy,BJP,532375
Punjab,2014,Rajiv Das,BJP,686450
Odisha,2019,Vikram Gupta,SP,420353
Himachal Pradesh,2019,Karthik Reddy,INC,367108
Tripura,2024,Deepak Chawla,SP,620800
Karnataka,2014,Neha Kulkarni,Independent,672611
Manipur,2019,Rajesh Nair,SP,354935
Bihar,2024,Prakash Yadav,BJP,428182
Jharkhand,2024,Pooja Desai,Independent,266707
Himachal Pradesh,2014,Suresh Patel,AITC,336903
Assam,2024,Amit Sharma,BJP,105148
Telangana,2014,Simran Kaur,SP,288793
Nagaland,2019,Prakash Yadav,Independent,238518
Rajasthan,2014,Amit Sharma,BJP,547021
Tripura,2014,Karthik Reddy,INC,544308
Chhattisgarh,2019,Simran Kaur,BJP,493550
Himachal Pradesh,2019,Vikram Gupta,INC,692403
Delhi,2014,Rajesh Nair,INC,149741
Karnataka,2014,Rajiv Das,SP,133236
Uttar Pradesh,2019,Simran Kaur,INC,380788
Telangana,2024,Simran Kaur,Independent,591272
Uttarakhand,2019,Amit Sharma,SP,326136
Kerala,2019,Neha Kulkarni,INC,269123
Arunachal Pradesh,2014,Karthik Reddy,INC,273782
Andhra Pradesh,2019,Rajesh Nair,INC,109443
Odisha,2024,Sonal Tiwari,Independent,672844
Maharashtra,2019,Prakash Yadav,INC,416320
Assam,2014,Karthik Reddy,Independent,459012
Sikkim,2014,Amit Sharma,BJP,201011
Tamil Nadu,2019,Deepak Chawla,BJP,329786
Assam,2024,Rajiv Das,SP,605674
Delhi,2019,Anita Menon,AITC,366152
Madhya Pradesh,2024,Pallavi Sharma,AITC,233789
Jharkhand,2019,Kiran Rao,SP,276821
Manipur,2014,Deepak Chawla,BJP,234389
Assam,2024,Meena Chopra,BJP,618488
Tamil Nadu,2024,Meena Chopra,INC,542510
Madhya Pradesh,2024,Prakash Yadav,INC,199456
Kerala,2019,Meena Chopra,BJP,351209
Himachal Pradesh,2024,Alok Verma,SP,610469
West Bengal,2014,Karthik Reddy,INC,260480
Manipur,2014,Vikram Gupta,Independent,181003
Delhi,2014,Anita Menon,INC,565658
Kerala,2024,Manoj Singh,AITC,190827
Karnataka,2019,Rajesh Nair,AITC,93657
Maharashtra,2014,Sonal Tiwari,BJP,392231
Assam,2014,Neha Kulkarni,BJP,137185
Maharashtra,2014,Karthik Reddy,Independent,195817
Sikkim,2014,Vikram Gupta,SP,346677
Manipur,2014,Vinod Joshi,INC,440629
Tamil Nadu,2024,Simran Kaur,SP,125124
Andhra Pradesh,2014,Vinod Joshi,BJP,239236
Sikkim,2019,Suresh Patel,BJP,189306
Haryana,2019,Meena Chopra,Independent,218459
Bihar,2024,Karthik Reddy,Independent,211899
Meghalaya,2024,Manoj Singh,AITC,369760
Manipur,2024,Sonal Tiwari,AITC,605067
Jharkhand,2024,Pooja Desai,AITC,495506
Andhra Pradesh,2024,Deepak Chawla,AITC,367794
Goa,2019,Neha Kulkarni,BJP,600895
Tamil Nadu,2024,Karthik Reddy,BJP,223724
Jharkhand,2024,Kiran Rao,AITC,603068
Kerala,2019,Pallavi Sharma,AITC,176730
Rajasthan,2014,Anita Menon,Independent,445690
Sikkim,2019,Amit Sharma,SP,336765
Bihar,2014,Prakash Yadav,SP,319067
Jharkhand,2019,Deepak Chawla,INC,379592
Rajasthan,2019,Meena Chopra,BJP,407125
Haryana,2014,Rajiv Das,INC,79793
Assam,2019,Rajesh Nair,BJP,253466
Nagaland,2019,Alok Verma,INC,558538
Himachal Pradesh,2024,Deepak Chawla,Independent,368007
Punjab,2024,Kiran Rao,Independent,368419
Madhya Pradesh,2024,Simran Kaur,INC,482876
West Bengal,2019,Amit Sharma,BJP,354504
Manipur,2024,Amit Sharma,BJP,502474
Andhra Pradesh,2014,Pooja Desai,SP,604504
Tamil Nadu,2019,Vinod Joshi,SP,578434
Goa,2019,Amit Sharma,Independent,225582
Haryana,2019,Kiran Rao,INC,93134
Tamil Nadu,2014,Amit Sharma,SP,377810
West Bengal,2019,Anita Menon,INC,588972
Andhra Pradesh,2014,Sonal Tiwari,BJP,469070
Arunachal Pradesh,2019,Vinod Joshi,INC,134970
West Bengal,2019,Rajesh Nair,AITC,626586
Nagaland,2014,Sonal Tiwari,SP,119407
Gujarat,2019,Rajesh Nair,BJP,60459
Jharkhand,2014,Anita Menon,AITC,453166
Karnataka,2014,Pooja Desai,AITC,314385
Mizoram,2014,Pooja Desai,SP,444211
Punjab,2019,Meena Chopra,AITC,682091
Jharkhand,2014,Suresh Patel,SP,441586
Kerala,2014,Vikram Gupta,SP,269389
Bihar,2014,Rajiv Das,BJP,327536
Uttar Pradesh,2024,Rajesh Nair,BJP,450690
Goa,2019,Neha Kulkarni,Independent,441488
Delhi,2014,Vikram Gupta,INC,604001
Sikkim,2019,Kiran Rao,Independent,671876
Tamil Nadu,2024,Suresh Patel,BJP,471044
Goa,2019,Rajiv Das,SP,687376
Gujarat,2014,Meena Chopra,Independent,340234
Bihar,2014,Neha Kulkarni,BJP,369839
Andhra Pradesh,2014,Vikram Gupta,BJP,277114
Mizoram,2024,Alok Verma,BJP,554041
Goa,2014,Ramesh Gowda,BJP,552669
Haryana,2014,Karthik Reddy,SP,196400
Andhra Pradesh,2019,Deepak Chawla,INC,201615
Uttarakhand,2014,Pallavi Sharma,Independent,611179
Delhi,2024,Prakash Yadav,AITC,627569
Uttar Pradesh,2014,Rajiv Das,INC,689293
Uttarakhand,2024,Rajiv Das,Independent,437116
Gujarat,2024,Prakash Yadav,AITC,698364
Haryana,2014,Amit Sharma,SP,536311
Sikkim,2019,Neha Kulkarni,Independent,368486
Arunachal Pradesh,2024,Neha Kulkarni,BJP,173765
Maharashtra,2024,Suresh Patel,BJP,559670
Bihar,2019,Vinod Joshi,BJP,477812
Kerala,2024,Manoj Singh,BJP,599616
Assam,2024,Vinod Joshi,INC,624906
Assam,2019,Anita Menon,AITC,230901
Goa,2024,Simran Kaur,SP,660222
Rajasthan,2014,Meena Chopra,INC,176885
Goa,2024,Ramesh Gowda,SP,652903
Goa,2019,Sonal Tiwari,BJP,570692
Nagaland,2024,Neha Kulkarni,BJP,115301
Chhattisgarh,2024,Anita Menon,BJP,149625
Meghalaya,2019,Ramesh Gowda,AITC,330606
Assam,2019,Manoj Singh,AITC,399868
Goa,2024,Simran Kaur,INC,476290
Kerala,2024,Rajesh Nair,INC,656587
Assam,2019,Rajiv Das,Independent,634941
West Bengal,2019,Deepak Chawla,SP,427149
Telangana,2019,Meena Chopra,SP,679625
Sikkim,2019,Neha Kulkarni,INC,195920
Jharkhand,2014,Meena Chopra,Independent,422406
Rajasthan,2014,Vinod Joshi,Independent,397351
Manipur,2019,Vinod Joshi,SP,231308
Odisha,2019,Suresh Patel,AITC,592424
Delhi,2019,Amit Sharma,AITC,216667
Gujarat,2019,Kiran Rao,AITC,668361
Bihar,2014,Sonal Tiwari,SP,667674
Bihar,2019,Meena Chopra,BJP,526644
Madhya Pradesh,2019,Karthik Reddy,INC,510098
Andhra Pradesh,2024,Prakash Yadav,Independent,522382
Manipur,2019,Neha Kulkarni,AITC,401657
Andhra Pradesh,2024,Pooja Desai,SP,86989
Goa,2024,Pallavi Sharma,AITC,546696
Assam,2014,Deepak Chawla,BJP,85680
Gujarat,2019,Pooja Desai,Independent,643393
Rajasthan,2014,Pallavi Sharma,BJP,373273
Nagaland,2019,Neha Kulkarni,INC,108111
Manipur,2019,Pooja Desai,BJP,423084
Manipur,2014,Karthik Reddy,INC,577679
Manipur,2014,Simran Kaur,Independent,453147
Delhi,2014,Karthik Reddy,AITC,460776
West Bengal,2014,Deepak Chawla,INC,61203
Jharkhand,2019,Suresh Patel,BJP,186717
West Bengal,2024,Vinod Joshi,Independent,174241
Delhi,2024,Manoj Singh,Independent,392308
Goa,2014,Anita Menon,Independent,630907
Meghalaya,2024,Sonal Tiwari,INC,334287
Kerala,2024,Rajiv Das,Independent,570351
Goa,2019,Simran Kaur,BJP,589887
Sikkim,2019,Anita Menon,BJP,264086
Madhya Pradesh,2019,Vinod Joshi,Independent,138165
Arunachal Pradesh,2019,Rajiv Das,SP,583633
Karnataka,2024,Prakash Yadav,BJP,130163
Mizoram,2024,Karthik Reddy,INC,654236
Goa,2014,Amit Sharma,Independent,204156
Delhi,2014,Manoj Singh,BJP,673197
Chhattisgarh,2014,Pooja Desai,Independent,512242
Kerala,2024,Sonal Tiwari,BJP,299368
Chhattisgarh,2014,Prakash Yadav,AITC,148741
West Bengal,2024,Pallavi Sharma,SP,137957
Andhra Pradesh,2014,Vikram Gupta,SP,579572
Punjab,2014,Manoj Singh,BJP,133365
Delhi,2019,Ramesh Gowda,Independent,76780
Telangana,2019,Meena Chopra,SP,622584
Sikkim,2024,Simran Kaur,AITC,628536
Assam,2024,Pooja Desai,Independent,529789
Punjab,2019,Ramesh Gowda,AITC,276658
Maharashtra,2024,Vikram Gupta,SP,248948
Assam,2014,Pallavi Sharma,BJP,351623
Karnataka,2019,Meena Chopra,Independent,460685
Telangana,2019,Suresh Patel,AITC,298108
Punjab,2019,Rajiv Das,SP,495439
Sikkim,2014,Vikram Gupta,Independent,452566
Tripura,2019,Pooja Desai,Independent,407282
Tripura,2024,Manoj Singh,BJP,191553
Jharkhand,2014,Deepak Chawla,BJP,576594
Telangana,2019,Manoj Singh,BJP,698046
Delhi,2019,Pooja Desai,SP,138081
Andhra Pradesh,2019,Meena Chopra,AITC,337857
Goa,2014,Simran Kaur,Independent,495055
Sikkim,2014,Manoj Singh,INC,307324
Meghalaya,2014,Prakash Yadav,AITC,253981
Tamil Nadu,2014,Neha Kulkarni,AITC,474671
Tripura,2019,Anita Menon,AITC,114803
Sikkim,2019,Rajiv Das,SP,688729
Tripura,2019,Pallavi Sharma,INC,496180
Gujarat,2014,Neha Kulkarni,SP,185003
Chhattisgarh,2014,Rajiv Das,SP,463008
Karnataka,2014,Manoj Singh,AITC,433505
Uttar Pradesh,2024,Meena Chopra,AITC,669718
Sikkim,2014,Deepak Chawla,BJP,108310
Sikkim,2024,Pallavi Sharma,Independent,152226
Andhra Pradesh,2019,Pallavi Sharma,Independent,208072
Meghalaya,2014,Sonal Tiwari,AITC,435664
Bihar,2014,Rajesh Nair,BJP,111407
Telangana,2014,Vinod Joshi,SP,143089
Madhya Pradesh,2019,Anita Menon,Independent,421364
Uttar Pradesh,2014,Karthik Reddy,INC,278882
Nagaland,2024,Alok Verma,Independent,561818
Madhya Pradesh,2024,Karthik Reddy,SP,233497
Chhattisgarh,2014,Anita Menon,AITC,398495
